source_workbook,source_sheet,source_row,batch,basket,category,semester,course_code_raw,course_code,course_code_status,course_title_raw,course_title,prerequisite_raw,prerequisite,prerequisite_status,lecture_hours,tutorial_hours,practical_hours,credits
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,3,2023,B1,Univ Core,S3,UCOR205,UCOR205,recorded,Socio Cultural Perspectives on Indian Life-SPIL,Socio Cultural Perspectives on Indian Life-SPIL,NIL,Nil,explicit_none,2.0,1.0,0.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,4,2023,B1,Univ Core,S1,UCOR104,UCOR104,recorded,Problem Solving with Design Thinking,Problem Solving with Design Thinking,NIL,Nil,explicit_none,1.0,0.0,2.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,4,2023,B1,Univ Core,S2,UCOR701,UCOR701,recorded,Community Engagement & Service Experience,Community Engagement & Service Experience,NIL,Nil,explicit_none,0.0,0.0,0.0,1.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,5,2023,B1,Univ Core,S1,UCOR102,UCOR102,recorded,Introduction to writing,Introduction to writing,NIL,Nil,explicit_none,1.0,0.0,2.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,5,2023,B1,Univ Core,S2,UCOR106,UCOR106,recorded,Learning to Learn,Learning to Learn,NIL,Nil,explicit_none,1.0,0.0,2.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,5,2023,B1,Univ Core,S3,UCOR201,UCOR201,recorded,Introduction to Epistemology,Introduction to Epistemology,NIL,Nil,explicit_none,1.0,1.0,0.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,7,2023,B2,Foundation,S1,MATH202,MATH202,recorded,Probability Theory,Probability Theory,NIL,Nil,explicit_none,2.0,1.0,0.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,7,2023,B2,Foundation,S2,MATH201,MATH201,recorded,Calculus,Calculus,NIL,Nil,explicit_none,2.0,1.0,0.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,7,2023,B2,Foundation,S3,MTSC781,MTSC781,recorded,Sustainable Cities and Communities,Sustainable Cities and Communities,NIL,Nil,explicit_none,0.0,0.0,0.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,8,2023,B2,Foundation,S1,COMP132,COMP132,recorded,Design Workshop,Design Workshop,NIL,Nil,explicit_none,0.0,0.0,4.0,2.0
