course_code,course_title,credits,prerequisite,prerequisite_status,batch,source_type,source_sheet,source_row
MATH206,Advanced Statistical Analysis and Research Methods with R,2.0,MATH203,recorded,2024,semester_excel,Sem_Spread_2024,17
MATH401/COMP401,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,4.0,NIL/NIL,recorded,2024,semester_excel,Sem_Spread_2024,18
DATA404/DATA406,SPT-Course #2-Multi Modal Learning/Big Data Framework,4.0,DATA302/NIL,recorded,2024,semester_excel,Sem_Spread_2024,18
DATA403,SPT-Course #3 (Natural Language Processing / Natural Language Processing),4.0,DATA302,recorded,2024,semester_excel,Sem_Spread_2024,18
DATA408/COMP402,SPT-Course #4 (Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4),4.0,"DATA302/COMP205, COMP401",recorded,2024,semester_excel,Sem_Spread_2024,19
DATA405,SPT-Course #5 Reinforcement Learning/Reinforcement Learning,4.0,"MATH202, MATH204",recorded,2024,semester_excel,Sem_Spread_2024,20
DATA801,Summer Training/Internship,2.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,23
DATA802,Interdisciplinary Project,4.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,23
DATA803,Capstone Project/Industrial Internship,12.0,Nil,explicit_none,2024,semester_excel,Sem_Spread_2024,23
UCOR103,Communication Skills,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,3
UCOR111,Environmental Studies and Sustainability,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,3
UCOR207,Analytical Academic Writing,3.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,3
UCOR205,Socio-Cultural Perspectives on Indian Life,3.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,3
UCOR310,Critical Thinking,3.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,3
UCOR215,Humanistic Leadership Development,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,3
UCOR106,Learning to Learn,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,4
LAWS101,Fundamentals of Indian Constitution and Human Rights,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,4
UCOR104,Problem Solving with Design Thinking,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,4
UCOR701,Community Engagement & Service Experience,1.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,5
SLAD206,Human Values in Work and Life,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,5
MATH208,Multivariate Calculus,4.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,7
MATH203,Probability and Statistics,4.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,7
MATH209,Linear Algebra,4.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,7
MTSC211,Sustainable Smart Materials,3.0,MTSC111,recorded,2025,semester_excel,Sem_Spread_2025,8
MATH206,Advanced Statistical Analysis and Research Methods with R,2.0,MATH203,recorded,2025,semester_excel,Sem_Spread_2025,8
MTSC111,Materials for Smart Devices,3.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,9
COMP132,Design Workshop,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,9
DATA103,Programming in Python,3.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,12
COMP201,Data Structures,4.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,12
COMP207,Operating Systems,3.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,12
COMP206,Microprocessors and Computer Architecture,4.0,"COMP204, COMP207",recorded,2025,semester_excel,Sem_Spread_2025,12
COMP204,Digital Design and Computer Organization,4.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,13
DATA132,Data Visualization and Storytelling,3.0,DATA103,recorded,2025,semester_excel,Sem_Spread_2025,13
COMP202,Theoretical Computer Science,4.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,13
COMP208,Networks,4.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,13
COMP209,Databases Management,4.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,14
COMP301,Artificial Intelligence,4.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,14
COMP302,Internet of Things,2.0,"COMP132, COMP201, COMP206, COMP208, COMP301",recorded,2025,semester_excel,Sem_Spread_2025,14
COMP203,Analysis of Algorithms,4.0,COMP201,recorded,2025,semester_excel,Sem_Spread_2025,15
COMP205,Object Oriented Programming,3.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,15
DATA209,Advanced Exploratory Data Analysis,4.0,"DATA132, MATH203",recorded,2025,semester_excel,Sem_Spread_2025,16
